ContigID	GOSlim_bin
contig70128	other biological processes
contig82454	DNA metabolism
contig174510	protein metabolism
contig209629	other biological processes
contig10816_153279	signal transduction
contig109222	transport
contig79068	signal transduction
contig119835	stress response
contig110229	transport
contig107524	cell organization and biogenesis
contig153338	signal transduction
contig202505	other metabolic processes
contig178059	protein metabolism
contig195940	cell organization and biogenesis
contig156531	RNA metabolism
contig192776	DNA metabolism
contig211867_118359_148870_108359	RNA metabolism
contig80837	cell organization and biogenesis
contig137841	signal transduction
contig132691	DNA metabolism
contig78639	other biological processes
contig156986	cell organization and biogenesis
contig11633	other biological processes
contig210238	other metabolic processes
contig152006	other biological processes
contig103313	cell organization and biogenesis
contig111499_148267	RNA metabolism
contig76782	protein metabolism
contig16721	cell organization and biogenesis
contig194536_155503_78018	protein metabolism
contig19838_140172_174762	cell organization and biogenesis
contig42765_169355_211642	protein metabolism
contig148433	protein metabolism
contig72182_78479	developmental processes
contig137392_59243	cell organization and biogenesis
contig217539	DNA metabolism
contig116209	RNA metabolism
contig108056_58352	signal transduction
contig48757_115859	other biological processes
contig104607	stress response
contig178737	cell adhesion
contig153447_130013	other metabolic processes
contig111499_148267	cell organization and biogenesis
contig160402_178588_169464_82650	cell-cell signaling
contig148582	RNA metabolism
contig152385	stress response
contig75834	signal transduction
contig73739_209573	other metabolic processes
contig148391	developmental processes
contig16365_73750	death
contig83227	developmental processes
contig158055_158794_81578_110560_126732_109873	DNA metabolism
contig111436	protein metabolism
contig174403	death
contig170863	stress response
contig140760	protein metabolism
contig207971_211985_109268	other metabolic processes
contig177314	signal transduction
contig174469	cell organization and biogenesis
contig47115	RNA metabolism
contig109619	signal transduction
contig156531	cell organization and biogenesis
contig70619	other biological processes
contig124486	death
contig146990	cell organization and biogenesis
contig145884_204728	signal transduction
contig156707	other metabolic processes
contig168773	transport
contig8486	protein metabolism
contig218639	transport
contig109776	signal transduction
contig102574	RNA metabolism
contig109112	other metabolic processes
contig108147	other biological processes
contig183530	cell adhesion
contig152048_210873_207983	developmental processes
contig146407	transport
contig194586	protein metabolism
contig94048_209788	protein metabolism
contig180498	other biological processes
contig195954_110362	transport
contig114144	stress response
contig94068	developmental processes
contig55602	transport
contig181105	protein metabolism
contig156874	cell cycle and proliferation
contig152426	signal transduction
contig154170	other biological processes
contig18360	RNA metabolism
contig190526_209591	other biological processes
contig68396	stress response
contig81444_70799	other biological processes
contig176405_179494_181052	transport
contig130840	transport
contig99425	RNA metabolism
contig5639_20178	developmental processes
contig174942_207975_212421_172070	cell adhesion
contig146178	signal transduction
contig132004_157690	protein metabolism
contig211594	developmental processes
contig77982	cell organization and biogenesis
contig66597	cell organization and biogenesis
contig80969	stress response
contig146811_7194_146815	cell-cell signaling
contig171289_179293	other metabolic processes
contig145199	stress response
contig191456	other biological processes
contig99128_201828	other metabolic processes
contig124649_157590_78481	death
contig176102	stress response
contig112519	other metabolic processes
contig148540	cell cycle and proliferation
contig110320_22629	cell adhesion
contig153433_118970_80907_119590_152403_205690_116105	signal transduction
contig78545_169462_118963	cell-cell signaling
contig167657	cell cycle and proliferation
contig147384_155119	RNA metabolism
contig150474	cell cycle and proliferation
contig177417	RNA metabolism
contig166141	other metabolic processes
contig170030	protein metabolism
contig75493	cell organization and biogenesis
contig111558	signal transduction
contig181297_209247	other metabolic processes
contig106963	signal transduction
contig146248_201532	other biological processes
contig145266_153552	other metabolic processes
contig82622	cell cycle and proliferation
contig108208_111166	cell organization and biogenesis
contig46011_60555	other metabolic processes
contig83264	other metabolic processes
contig174357	cell organization and biogenesis
contig77705_76642	cell cycle and proliferation
contig107980	signal transduction
contig213788	signal transduction
contig150119	other metabolic processes
contig205578	RNA metabolism
contig19361	transport
contig194492	other biological processes
contig203506	developmental processes
contig115709	cell organization and biogenesis
contig207852	other metabolic processes
contig71912	transport
contig199537_131652	developmental processes
contig69902	transport
contig147054	cell organization and biogenesis
contig14637	other biological processes
contig210814	transport
contig147436	cell cycle and proliferation
contig212552_93138_218541_209435_26508_201852_107923	other biological processes
contig154223	other metabolic processes
contig81449	protein metabolism
contig186739	RNA metabolism
contig19127	protein metabolism
contig108805_58936_110496	other biological processes
contig140649	transport
contig172068	developmental processes
contig160339	transport
contig116209	cell organization and biogenesis
contig135029	protein metabolism
contig139395_106167	signal transduction
contig213185	protein metabolism
contig155278	transport
contig196579	transport
contig213001	protein metabolism
contig191953_179483_160766	stress response
contig140010	other metabolic processes
contig79197	other metabolic processes
contig147427	cell organization and biogenesis
contig157913	stress response
contig116751	protein metabolism
contig69840	death
contig73419_97441	protein metabolism
contig182344_209692_156646	stress response
contig176452	stress response
contig135344	transport
contig71644	other metabolic processes
contig204727	other biological processes
contig98391	other metabolic processes
contig73908	other biological processes
contig111353_15879_150978_146840	other biological processes
contig202542_140588_211063_219784_131317_150042_150849	developmental processes
contig204391_146508_4714	other metabolic processes
contig56134	cell cycle and proliferation
contig147922	stress response
contig150489	RNA metabolism
contig112931	other metabolic processes
contig150944	other metabolic processes
contig212795	developmental processes
contig151589	other metabolic processes
contig109558	other biological processes
contig196591	transport
contig82448	other metabolic processes
contig131064	other biological processes
contig109282	other metabolic processes
contig108258	developmental processes
contig104344	developmental processes
contig18858	signal transduction
contig153006	protein metabolism
contig131257	other metabolic processes
contig116963_177674	signal transduction
contig169081	protein metabolism
contig119885_118042_208279	DNA metabolism
contig210259	cell cycle and proliferation
contig153140	signal transduction
contig70496_68900	cell adhesion
contig26459_204182_179161	cell organization and biogenesis
contig7601_69470	other metabolic processes
contig211	other metabolic processes
contig158241	developmental processes
contig170354_148803_71185_108273_177016	cell adhesion
contig14450	signal transduction
contig175670	cell organization and biogenesis
contig150868	cell organization and biogenesis
contig109312	RNA metabolism
contig193281	transport
contig124649_157590_78481	stress response
contig148279_131491_78541	transport
contig14343_196563_160446	cell organization and biogenesis
contig193255	stress response
contig199438_148595_158383_169198_140574_180199_205702	developmental processes
contig16460	developmental processes
contig22410	cell cycle and proliferation
contig123882_53124_116486	other biological processes
contig110992	cell-cell signaling
contig99134_218750	cell-cell signaling
contig108727	protein metabolism
contig203369	cell organization and biogenesis
contig73180_205350_73534_212887_82481	other biological processes
contig72100	cell organization and biogenesis
contig209244	transport
contig17431	other metabolic processes
contig210900	other metabolic processes
contig210498	other biological processes
contig210238	DNA metabolism
contig204768	developmental processes
contig146893_195014	other biological processes
contig177844	other biological processes
contig149162	other biological processes
contig147723	signal transduction
contig79914	other biological processes
contig150174	other biological processes
contig154339	stress response
contig160899	transport
contig600195	protein metabolism
contig82799_117493_43260	transport
contig81929	developmental processes
contig213997_59053	protein metabolism
contig70196	cell cycle and proliferation
contig138918	transport
contig211083	other biological processes
contig191892_153521_182412_178512_59234	developmental processes
contig159236_69446	cell organization and biogenesis
contig22246_154332_3740	protein metabolism
contig151576	transport
contig65429	other biological processes
contig600019	protein metabolism
contig202417	cell organization and biogenesis
contig184767	cell cycle and proliferation
contig77975_11653	RNA metabolism
contig175798	other biological processes
contig211839	other biological processes
contig153936_205344	signal transduction
contig117241	other metabolic processes
contig178141	DNA metabolism
contig78433_204812	developmental processes
contig146918	protein metabolism
contig7848	RNA metabolism
contig179400	signal transduction
contig218451	other biological processes
contig23344	cell cycle and proliferation
contig116877	other biological processes
contig21722	other biological processes
contig80107	transport
contig99828	cell cycle and proliferation
contig79306	other biological processes
contig12261	DNA metabolism
contig150912	developmental processes
contig35831_139274_189894	transport
contig182932	transport
contig154103	transport
contig54398	signal transduction
contig155893_203857	other biological processes
contig82254	other metabolic processes
contig98232	other metabolic processes
contig73509	cell organization and biogenesis
contig191926	other metabolic processes
contig75887_148866	developmental processes
contig115421_205417	cell-cell signaling
contig111863	transport
contig116176	other metabolic processes
contig73448	RNA metabolism
contig170110	transport
contig116619_176701	other metabolic processes
contig153382	stress response
contig211220	signal transduction
contig181789	protein metabolism
contig74467	signal transduction
contig104255_74669_147417	developmental processes
contig78207	other metabolic processes
contig189550_118992_180641	DNA metabolism
contig195571	other biological processes
contig147473	cell organization and biogenesis
contig118321_176499_147224	stress response
contig174598	developmental processes
contig147114	other biological processes
contig148011	cell-cell signaling
contig98200_170180	other metabolic processes
contig173282_170937	protein metabolism
contig210702	developmental processes
contig80642	other biological processes
contig170606	death
contig73952_97142	protein metabolism
contig112448	other biological processes
contig183833	developmental processes
contig76940	other biological processes
contig177719	death
contig171282	cell cycle and proliferation
contig119782_145335	developmental processes
contig107606_77873	signal transduction
contig185879	cell organization and biogenesis
contig103425_149272_167527_211115	other biological processes
contig148474	RNA metabolism
contig73399	cell organization and biogenesis
contig105318	other biological processes
contig201161	developmental processes
contig93818_160585_147605	other biological processes
contig195749	other metabolic processes
contig145196	other metabolic processes
contig149390	cell cycle and proliferation
contig111135_171109	cell cycle and proliferation
contig140394	cell cycle and proliferation
contig105052	cell cycle and proliferation
contig205140_190201	other metabolic processes
contig147865	other biological processes
contig19584	other biological processes
contig82026	developmental processes
contig46340_158732	signal transduction
contig81204_18674	death
