transcript	gene_id	gene_name	sample1	sample2	fold_change	direction	total_fpkm	q-value	gene_description
EKC28297	CGI_10021602	.	Pre	Post	1.43	UP	210744.90	0.75006	
EKC40686	CGI_10008590	.	Pre	Post	1.58	UP	176943.30	0.714254	
TCONS_00000151	XLOC_000150	-	Pre	Post	10.39	DOWN	73075.04	0.00719642	
EKC17809	CGI_10000174	.	Pre	Post	2.04	UP	64442.90	0.378079	
EKC26570	CGI_10010474	.	Pre	Post	1.03	UP	62023.70	0.969027	
EKC36300	CGI_10027197	.	Pre	Post	1.70	UP	57864.80	0.687899	
TCONS_00034506	XLOC_016790	-	Pre	Post	2.07	DOWN	50034.50	0.419606	
TCONS_00029219	XLOC_014408	CGI_10019606	Pre	Post	15.94	DOWN	48748.54	0.714254	
EKC34882	CGI_10027591	FER	Pre	Post	6.36	UP	43013.84	0.080312	
EKC17881	CGI_10000085	RPLL	Pre	Post	1.60	UP	36032.30	0.714254	
EKC18205	CGI_10014579	.	Pre	Post	1.13	UP	27943.20	0.91825	
TCONS_00060272	XLOC_028890	-	Pre	Post	1.62	UP	22574.61	0.726658	
CUFF.16190.1	CGI_10003072	.	Pre	Post	1.47	UP	21777.76	0.726658	
TCONS_00045578	XLOC_022336	-	Pre	Post	1.23	UP	21651.81	0.794692	
CUFF.19852.3	CGI_10008493	RPL40	Pre	Post	1.25	DOWN	20349.36	0.937665	
EKC22949	CGI_10001106	.	Pre	Post	1.20	UP	18823.19	0.859858	
EKC17663	CGI_10000384	.	Pre	Post	1.46	UP	18058.65	0.726658	
CUFF.14808.2	CGI_10001493	.	Pre	Post	1.67	UP	17888.02	0.72633	
CUFF.16972.1	CGI_10003923	.	Pre	Post	1.50	UP	16551.61	0.731336	
CUFF.27464.1	CGI_10028140	.	Pre	Post	1.36	UP	16496.94	0.761597	
CUFF.18907.7	CGI_10006684	.	Pre	Post	1.76	DOWN	16456.88	0.871087	
TCONS_00003615	XLOC_002262	CGI_10028501	Pre	Post	1.20	UP	15978.59	0.872927	
EKC38373	CGI_10021746	.	Pre	Post	7.38	DOWN	15907.68	0.00719642	
EKC32688	CGI_10024065	.	Pre	Post	1.45	UP	15386.74	0.761222	
CUFF.20250.7	CGI_10009633	.	Pre	Post	12.41	DOWN	14435.32	0.769303	
EKC23924	CGI_10004554	RPL24	Pre	Post	2.06	UP	13903.66	0.583676	
CUFF.26400.4	CGI_10012473	.	Pre	Post	1.41	UP	13784.13	0.935902	
CUFF.21406.2	CGI_10014579	.	Pre	Post	1.83	UP	13335.53	0.743667	
EKC17563	CGI_10000573	.	Pre	Post	1.85	UP	13221.57	0.508367	
EKC36952	CGI_10023099	.	Pre	Post	1.59	UP	12929.80	0.726658	
TCONS_00025160	XLOC_012626	-	Pre	Post	5.08	UP	12629.87	0.247697	
EKC29734	CGI_10013011	.	Pre	Post	2.30	DOWN	12208.56	0.698568	
EKC38374	CGI_10021747	.	Pre	Post	3.23	DOWN	11600.86	0.124292	
EKC17889	CGI_10000077	.	Pre	Post	1.36	UP	10974.55	0.747438	
CUFF.14220.2	CGI_10017100	.	Pre	Post	1.38	UP	10895.14	0.775894	
TCONS_00057342	XLOC_027522	-	Pre	Post	1.15	UP	10680.61	0.913913	
CUFF.3384.2	CGI_10026056	.	Pre	Post	1.40	UP	10642.36	0.747801	
CUFF.4088.2	CGI_10024289	RPL31	Pre	Post	1.12	UP	10579.17	0.900087	
CUFF.16886.3	CGI_10003829	.	Pre	Post	1.46	UP	10432.39	0.726658	
CUFF.9461.3	CGI_10020961	.	Pre	Post	1.23	DOWN	10331.49	0.901677	
EKC21036	CGI_10004762	RPS27-1	Pre	Post	1.81	DOWN	10150.05	0.861122	
TCONS_00043322	XLOC_021294	-	Pre	Post	1.99	UP	10144.73	0.624454	
EKC20571	CGI_10005808	RPS17	Pre	Post	1.31	UP	9996.65	0.802787	
CUFF.17656.1	CGI_10004762	RPS27-1	Pre	Post	1.05	DOWN	9704.68	0.963433	
EKC25047	CGI_10020961	.	Pre	Post	1.43	UP	9650.21	0.794448	
CUFF.23579.1	CGI_10009326	.	Pre	Post	1.78	UP	9573.06	0.714254	
TCONS_00059114	XLOC_028369	-	Pre	Post	3.51	DOWN	9471.62	0.0127885	
EKC41794	CGI_10026412	.	Pre	Post	1.28	UP	9308.44	0.844152	
EKC19106	CGI_10009651	RPS5	Pre	Post	1.49	UP	9204.58	0.726658	
EKC42651	CGI_10013280	.	Pre	Post	1.95	UP	9139.75	0.398771	
EKC43144	CGI_10021159	.	Pre	Post	1.04	UP	9076.72	0.963915	
EKC19598	CGI_10008152	RPLS	Pre	Post	1.41	UP	9065.18	0.770555	
CUFF.25176.3	CGI_10018261	.	Pre	Post	1.08	UP	8978.18	0.929059	
EKC17931	CGI_10000033	.	Pre	Post	2.61	UP	8918.56	0.15101	
TCONS_00000167	XLOC_000166	-	Pre	Post	827.82	UP	8789.78	0.714254	
CUFF.9430.6	CGI_10010541	.	Pre	Post	1.46	DOWN	8561.05	0.845378	
TCONS_00056909	XLOC_027319	CGI_10019424	Pre	Post	1.28	UP	8552.71	0.821164	
EKC31625	CGI_10010740	.	Pre	Post	1.37	UP	8514.83	0.76174	
TCONS_00054237	XLOC_026168	-	Pre	Post	1.01	UP	8401.22	0.990412	
CUFF.27524.1	CGI_10028202	.	Pre	Post	1.55	UP	8171.91	0.775881	
EKC20023	CGI_10007104	RPS8	Pre	Post	1.12	UP	8074.48	0.935879	
EKC25464	CGI_10012808	.	Pre	Post	1.07	DOWN	7977.99	0.951989	
TCONS_00056889	XLOC_027306	-	Pre	Post	6.06	DOWN	7890.30	0.00719642	
CUFF.10761.1	CGI_10012002	.	Pre	Post	1.06	DOWN	7716.47	0.955232	
EKC35468	CGI_10014767	.	Pre	Post	1.42	UP	7507.48	0.726658	
TCONS_00064868	XLOC_030992	CGI_10015716	Pre	Post	1.19	UP	7502.45	0.882033	
CUFF.11088.1	CGI_10007986	.	Pre	Post	2.02	UP	7492.74	0.714254	
CUFF.15141.7	CGI_10022730	ACT	Pre	Post	2.55	UP	7476.62	0.714254	
CUFF.22500.2	CGI_10013280	.	Pre	Post	2.11	UP	7354.90	0.730143	
TCONS_00034030	XLOC_016561	-	Pre	Post	4.57	UP	7284.68	0.278493	
TCONS_00044111	XLOC_021658	-	Pre	Post	1.03	DOWN	7016.01	0.975918	
TCONS_00052914	XLOC_025571	CGI_10009633	Pre	Post	20.47	DOWN	6842.10	0.766189	
EKC30320	CGI_10024554	RPS11	Pre	Post	1.35	UP	6815.34	0.778134	
TCONS_00057060	XLOC_027377	-	Pre	Post	2.17	DOWN	6729.96	0.724007	
EKC23652	CGI_10007986	.	Pre	Post	1.01	DOWN	6458.53	0.990412	
EKC40630	CGI_10021874	.	Pre	Post	1.53	UP	6362.97	0.743991	
TCONS_00007561	XLOC_004185	-	Pre	Post	1.31	UP	6360.18	0.766189	
TCONS_00052915	XLOC_025572	CGI_10009633	Pre	Post	2.48	DOWN	6342.71	0.918445	
CUFF.19154.1	CGI_10007104	RPS8	Pre	Post	1.75	UP	6314.87	0.746622	
TCONS_00039115	XLOC_019204	CGI_10022731	Pre	Post	19.01	UP	6070.99	0.777228	
CUFF.9347.2	CGI_10010529	.	Pre	Post	1.69	UP	6067.87	0.726658	
TCONS_00069714	XLOC_033234	-	Pre	Post	2.55	UP	6049.62	0.0845389	
TCONS_00033658	XLOC_016405	CGI_10018987	Pre	Post	6.07	DOWN	6039.32	0.298628	
TCONS_00010179	XLOC_005366	CGI_10016248	Pre	Post	1.33	DOWN	6031.73	0.909155	
TCONS_00009938	XLOC_005260	-	Pre	Post	7.58	UP	5938.99	0.00719642	
EKC37797	CGI_10017556	.	Pre	Post	1.96	UP	5812.95	0.784626	
